name,phone,email,address
Berlitz Manchester,+44 (0)161 228 3607,manchester@berlitz.co.uk,"5th Floor, Barton Arcade, Deansgate, Manchester, M3 2BB"
Birmingham School of English,+44 (0)121 632 4562,info@birminghamschool.com,"95-97 New Street, Birmingham, B2 4EQ, UK"
Bishopstrow College,+44 (0)1985 212482,admissions@bishopstrow.com,"Bishopstrow, Warminster, Wiltshire, BA12 9HE, UK"
Bournemouth City College,,,
Bournemouth School of English (The),+44 (0)1202 557736,info@bse.ac,"The Bournemouth School of English, 41-45 Southbourne Grove, Bournemouth, Dorset, BH6 3QT, UK"
Bright School of English,+44 (0)1273 697077,info@bright-english.com,"Bright School of English, 9 Ventnor Villas, Hove, BN3 3DD"
Brighton Language College International,+44 (0)1273 727407,info@blc-international.com,"Brighton Language College International, 99 Preston Road, Brighton, BN1 2PT"
Britannia English Academy,+44 (0)141 332 3808,info@britanniaenglish.com,"30 Great Western Road, Glasgow, G4 9JB"
Britannia School of English,+44 (0) 121 236 1288,info@britanniaschool.com,"85 Newhall Street, Birmingham, B3 1LH"
British Learning Academy,,,
British School of Marketing International,,,
British Summer School,,,
Broadstairs English Centre,+44 (0)1843 866171,info@broadstairsenglish.com,"Broadstairs English Centre, 45-51 High Street, Broadstairs, Kent, CT10 1JL"
Brooke House College,+44 (0)1858 462451,enquiries@brookehouse.com,"Market Harborough, Leicestershire, LE16 7AU"
Brunel University,+44 (0)1895 266003,,"Kingston Lane, Uxbridge, UB8 3PH"
Bucksmore Education Multicentre (Head office - London) ,+44 (0)20 7099 0500,info@bucksmore.com,"Bucksmore Education, 49-51 Central Street, London, EC1V 8AB"
Buckswood Overseas Summer School,+44 (0) 1424 437600,admissions@buckswood.co.uk,"Buckswood School, Rye Road, Guestling, Hastings, East Sussex, TN35 4LT, UK"
Burlington School of English,+44 (0)20 7734 1715,info@burlingtonschool.com,"51 Holland Park, London, W11 3RS, UK"
CELT - Centre for English Language Teaching,+44 (0)1752 587800,CELT@plymouth.ac.uk,"University of Plymouth, Drake Circus, Plymouth, PL4 8AA, UK"
CIE College of International Education,+44 (0)1202 767400,info@cie-bournemouth.co.uk,"CIE College of International Education, 1A Branksome Road, Bournemouth, Dorset, BH4 9DB, UK"
CLAN Language Schools Ltd,+44 1244 671770,info@clanlanguages.co.uk,"CLAN Language Schools Ltd
The Old Bank
63 Watergate Street
Chester
CH1 2LA"
Cambridge Academy of English,+44 (0)1223 311131,info@cambridgeacademy.co.uk,"Cambridge Academy of English, 45 Cherry Hinton Road, Cambridge CB1 8BS, UK"
Cambridge Centre for Languages,+44 (0)1223 246010,enquiries@ccl-cambridge.com,"Cambridge Centre for Languages, 88 Cherry Hinton Road, Cambridge CB1 7AJ, UK"
Canterbury Christ Church University,+44 1227 921111,,"Canterbury Christ Church University
North Holmes Road
Canterbury
Kent
CT1 1QU"
Capital School of English,+44 (0)20 7242 7575,info@capitalschool.com,"52 Red Lion Street, London, WC1R 4PF"
Cardiff and Vale College International,+44 (0)29 2025 0360,international@cavc.ac.uk,"Cardiff and Vale College International, Dumballs Road, Cardiff, CF11 6TX, UK"
Castle School of English,+44 (0)1206 870171,info@castleschool.com,"Castle School of English, 14 North Hill, Colchester, Essex CO1 1DZ, UK"
Cavendish School of English,+44 (0)1227 453241,enquiries@cavendishschool.com,"10-12 Cavendish Street, Canterbury, Kent, CT1 2DY, UK"
Celtic English Academy,+44 (0)29 2034 4800,learn@celticenglish.co.uk,"Celtic English Academy, 14-16 Dumfries Place, Cardiff CF10 3HJ, UK"
Central Language School,+44 (0)20 7491 1666,info@centrallanguageschool.com,"Central Language School, 27A Charles Street, Mayfair, London, W1J 5DT"
Centre of English Studies,+44 1865 249621,oxford@ces-schools.com,"Centre of English Studies
101 Banbury Road
Oxford
OX2 6JY"
Chaucer College,+44 (0)1227 810400,enquiries@chaucercollege.com,"Chaucer College Canterbury, Sturry Hill, Canterbury, Kent CT2 0AJ, UK"
Chichester College,+44 (0)1243 786321,info@chichester.ac.uk,"Chichester College, Westgate Fields, Chichester, West Sussex, PO19 1SB, UK"
Choices International,+44 20 7221 0480,info@choices-international.com,"Choices International
2nd Floor, 14-15 Conduit Street
London
WIS 2XJ"
Churchill House School of English Language,+44 (0)1843 866266,info@churchillhouse.com,"Churchill House School of English Language, 40-42 Holmewoods, Broadstairs, Kent, CT10 3JS"
Churchill House Summer Centres,+44 (0) 1843 852222,info@churchillhouse.com,"40 Churchill Square, Ramsgate, Kent, CT11 9HL, UK"
City School of Languages,+44 (0)29 2022 7666,info@cityschooloflanguages.co.uk,"39-41 Queen Street, Cardiff, CF10 2AU"
City of Glasgow College,+44 141 375 5191,info@cityofglasgowcollege.ac.uk,"190 Cathedral Street, Glasgow, G4 0RF, UK"
Community Revival,,,
Concorde International,+44 (0)1227 451035,info@concorde-int.com,"Concorde International, Sturry Road, Canterbury, Kent, CT1 1PT"
Concorde International Summer School,+44 (0)1227 451035,info@concorde-int.com,"Concorde International Summer School, Radnor Chambers, Cheriton Place, Folkestone, Kent CT20 1BB, UK"
Cotswold International Language School,+44 (0)1242 255344,enquiries@cotswoldint.com,"Cotswold International Language School, Standish House, Stonehouse, Gloucestershire, GL10 3DF, UK"
Country Cousins,,,
De Montfort University,+44 (0)116 255 1551,enquiries@dmu.ac.uk,"The Gateway, Leicester, LE1 9BH, UK"
Didac School,,,
Discovery Summer,+44 (0)20 7225 3155,info@discoverysummer.co.uk,"Discovery Summer, 44 Redcliffe Road, London, SW10 9NJ"
Docklands Academy,+44 (0)20 7531 0020,info@docklandsacademy.co.uk,"Docklands Academy London, 153-157 East India Dock Road, London, E14 0EA"
EC Brighton,+44 (0)1273 677150,brighton@ecenglish.com,"EC Brighton, 125 Queens Road, Brighton, BN1 3WB, UK"
EC Bristol,+44 117 929 1552,enquiries@ecenglish.com,"EC Bristol, 51 Corn Street, Bristol BS1 1HT, UK"
EC Cambridge,+44 1223 341532,info@ecenglish.com,"EC Cambridge
14 Station Road
Cambridge
CB1 2J"
EC Young Learners,,,
ECS,,,
ECS Scotland,+44 (0)131 557 0400,info@ecsscotland.co.uk,"ECS Scotland, 21 Melville Street, Edinburgh EH3 7PE, UK"
EF Bournemouth,+44 (0)1202 293636,,"EF Bournemouth, 29-35 Holdenhurst Road, Bournemouth, BH8 8EH"
EF Brighton,+44 (0)1273 687472,,"EF Brighton, Embassy House, Brighton, BN1 3WB"
EF Bristol,+44 (0)117 927 1491,efbristol@ef.com,"1 Clifton, Bristol, BS8 1LY, UK"
EF Cambridge,+44 (0)1223 302711,,"EF Cambridge, EF International Language Centre, 129 Hills Road, Cambridge, CB2 1PG, UK"
EF Eastbourne,+44 (0)1323 725925,eastbourne@ef.com,"EF Eastbourne, 22-24 Grand Parade, Eastbourne, East Sussex, BN21 4DN, UK"
EF London,,,
EF Manchester,+44 (0)161 273 1713,manchester@ef.com,"EF Manchester, 49 Peter Street, Manchester M2 3NG, UK"
EF Oxford,+44 (0)1865 249121,,"EF Oxford, 101 Banbury Road, Oxford, OX2 6JY"
ELAC Study Vacations,+44 1273 206727,info@elac.co.uk,"ELAC Study Vacations
Third Floor, 8-9 Ship Street
Brighton
BN1 1AD"
ELC Brighton,+44 (0)1273 673131,info@elc-brighton.co.uk,"50 Norfolk Square, Brighton, BN1 2PA"
ELC Bristol,+44 117 924 1400,info@elcbristol.co.uk,"ELC Bristol
50 Pembroke Road
Clifton
Bristol
BS8 3BA"
ELC Chester,+44 (0)1244 313134,info@elcchester.co.uk,"English Language Centre Chester, 9-11 Stanley Place, Chester, CH1 2LU, UK"
ES London London ,+44 (0)20 7680 4700,info@eslondon.co.uk,"283 Gray's Inn Road, London, WC1X 8QF"
ETC International College,+44 (0)1202 291877,info@etc-inter.net,"45 West Hill Road, Bournemouth, Dorset, BH2 5HH"
Eagle International School,+44 (0)20 7249 7832,info@eagle-school.co.uk,"Eagle International School, 36-38 Willesden Lane, London, NW6 7ST"
Earlscliffe College,+44 (0)1797 225391,enquiries@earlscliffe.com,"Earlscliffe, Shorncliffe Road, Folkestone, Kent, CT20 2QF, UK"
East London Community College,,,
East Midlands School of Business & Management (ESBM),+44 (0)115 870 0468,info@emsbm.co.uk,"East Midlands School of Business & Management (ESBM), 17 Stoney Street, Nottingham, NG1 1LP, UK"
East Sussex College,,,
Edinburgh College,,,
Edwards Language School,,,
Embassy Summer,,,
Emerald Cultural Institute,,,
EngXcel Ltd,,,
English Language House,+44 (0)1273 721900,info@elh.uk.com,"English Language House, 9-11 Ventnor Villas, Hove, BN3 3DD, UK"
English Path,+44 (0)20 7602 4222,info@englishpath.com,"English Path London, 1-3 Rosslyn Road, Twickenham, London, TW1 2AR"
English in Margate,,,
English in Totnes,+44 (0)1803 866003,info@englishintotnes.co.uk,"English in Totnes, 10a The Plains, Totnes, Devon TQ9 5DD, UK"
English in York,+44 (0)1904 624405,info@english-in-york.co.uk,"English in York, 57 Nunnery Lane, York, YO23 1AB, UK"
Etherton Education,+44 (0)1727 845145,info@etherton.co.uk,"Unit 4, Veridion Way, Errington Business Park, St Albans, AL2 2LS, UK"
Europa School of English Junior Programmes,+44 (0)1892 783500,info@europaschool.co.uk,"Europa School of English Junior Programmes, Kent College Pembury, Pembury, Tunbridge Wells, Kent TN2 4AX, UK"
Europa School of English year round,+44 1843 570030,info@europaschool.co.uk,"Europa School of English year round
26 Thanet Road
Margate
Kent
CT9 1TW"
Eurospeak Language School,+44 (0)118 958 9599,info@eurospeak.ac.uk,"59-61 Queens Road, Reading, Berkshire, RG1 4EH"
Eurospeak Language School Southampton ,+44 (0)23 8023 2444,enquiries@eurospeak.ac.uk,"Eurospeak Language School Southampton, 10 College Place, London Road, Southampton, SO15 2FE, UK"
Express English College,+44 (0)20 7242 7595,info@expressenglish.co.uk,"Express English College, Holborn House, 49-50 Eagle Wharf Road, London, N1 7ED, UK"
Exsportise,+44 (0)1444 447575,info@exsportise.co.uk,"Unit 8, Bridge Road Business Park, Haywards Heath, West Sussex, RH16 1UA, UK"
Fettes Centre for Language and Culture,+44 (0)131 311 6770,info@fetteslanguage.co.uk,"Fettes Centre for Language and Culture, Fettes College, Carrington Road, Edinburgh, EH4 1QX"
Find Education,+44 (0)1732 771772,info@findeducation.co.uk,"The Old School House, High Street, Sevenoaks, Kent, TN13 1XE"
Foyle International,+44 (0)28 7126 8248,info@foyle.eu,"Foyle International, 43a Northland Road, Derry/Londonderry, BT48 7ND"
Frances King School of English,+44 (0)20 7730 8466,info@francesking.com,"Frances King School of English, 19 Gloucester Road, London, SW7 4RA"
Future Learning,,,
GG College,+44 (0)20 3962 5040,info@ggcollege.co.uk,"GG College, 207 Regent Street, London, W1B 3HH"
Glasgow School of English,+44 (0)141 334 0080,info@glasgowschoolofenglish.com,"Glasgow School of English, 215 West George Street, Glasgow, G2 2LW"
Globe English Centre,+44 (0)1392 272552,info@globeenglish.co.uk,"Globe English Centre, 22 Southernhay West, Exeter EX1 1PR, UK"
HIL Liverpool,+44 (0)151 709 7277,info@hilleeds.com,"3rd Floor, 10-12 Stanley Street, Liverpool, L1 6AF, UK"
Harrow School Short Courses,,,
Heathfield Summer School,,,
Hello! Exmouth (Formerly Mountlands Language School),+44 (0)1395 273984,info@helloexmouth.co.uk,"Hello! Exmouth, 10-12 Rolle Street, Exmouth, Devon, EX8 2AA, UK"
Hilderstone College,+44 1843 861771,enquiries@hilderstone.ac.uk,"Hilderstone College
St Peter's Road
Broadstairs
Kent
CT10 2AQ"
ILC Birmingham (International Language Centres) (Formerly TEG English Birmingham),+44 121 643 4433,info@ilcenglish.com,"Guildhall Buildings, Navigation Street, Birmingham B2 4BT, UK"
ILC Bristol (International Language Centres) (Formerly TEG English Bristol),+44 117 929 2222,bristol@ilcenglish.com,"Westgate Buildings, 38 College Green, Bristol BS1 5ST, UK"
ILC Colchester (International Language Centres)(Formerly Colchester English Study Centre (CESC),+44 (0)1206 562244,info@ilccolchester.com,"ILC Colchester (International Language Centres), 19 Lexden Road, Colchester, Essex CO3 3PW, UK"
ILC Portsmouth (International Language Centres) (Formerly TEG English Portsmouth),+44 23 9229 1144,portsmouth@ilcenglish.com,"11 St James's Rd, Southsea, Portsmouth PO5 4JB, UK"
INTO Manchester,+44 (0)161 275 2950,intomanchester@intoglobal.com,"INTO Manchester, Cavendish Street, Manchester, M15 6BG, UK"
INTO Queen's University Belfast,+44 (0)28 9097 6262,intoadmissions@qub.ac.uk,"INTO Queen's University Belfast, Queen's University Belfast, Belfast BT7 1NN, UK"
ISCA School of English (The),+44 (0)1392 271281,info@isca-exeter.co.uk,"ISCA School of English, 1 Mount Radford Crescent, Exeter, Devon, EX2 4EW"
Imperial English UK (formerly Birmingham College,+44 (0)121 643 4433,info@imperial-english.co.uk,"Imperial English UK, The McLaren Building, 46 The Priory Queensway, Birmingham B4 7LR, UK"
Influential English,,,
Ingla School of English,+44 (0)1273 697000,info@ingla.co.uk,"18-19 Marlborough Place, Brighton, BN1 1UB"
Inlingua,+44 (0)20 7629 9491,london@inlingua.com,"Inlingua, 53 Davies Street, Mayfair, London, W1K 5JH"
Interactive English Language School,+44 (0)1273 722271,info@ielanguages.co.uk,"Interactive English Language School, 3 Brunswick Square, Hove, East Sussex BN3 1EE, UK"
International Colleagues School of English,+44 (0)161 273 2277,info@icschool.co.uk,"International Colleagues School of English, 14 Oxford Road, Manchester, M1 5QA, UK"
International House Belfast,+44 (0)28 9024 5245,info@ihbelfast.com,"International House Belfast, 20 Callender Street, Belfast, BT1 5BQ"
International House Bristol,+44 (0)117 906 0060,info@ihbristol.com,"25 St John's Road, Clifton, Bristol, BS8 2HD"
International House London,+44 (0)20 7611 2400,enquiries@ihlondon.com,"International House London, 16 Stukeley Street, London, WC2B 5LQ, UK"
International House London Young Learner Centres,+44 (0)20 7611 1738,younglearners@ihlondon.com,"16 Stukeley Street, London, WC2B 5LQ"
International House Manchester,+44 (0)161 237 3100,courses@ihmanchester.com,"International House Manchester, 46-50 Market Street, Manchester, M1 1LE"
International House Newcastle,+44 (0)191 232 9551,enquiries@ihnewcastle.com,"International House Newcastle, 67-69 Grey Street, Newcastle upon Tyne, NE1 6EF"
International House Torquay,+44 (0)1803 214466,info@ihtorquay.com,"International House Torquay, 1 Park Road, Torquay, Devon, TQ1 2AU, UK"
International Language College,+44 (0)23 8023 3505,info@ilc-southampton.co.uk,"International Language College, 4 Carlton Crescent, Southampton SO15 2EY, UK"
International Projects Centre,,,
International Student Club,,,
Intuition Languages,,,
Islington Centre for English,+44 20 7607 3733,info@ice.ac.uk,"Islington Centre for English
4-12 Penton Street
London
N1 9PS"
JoStudy English Academy,,,
KKCL,+44 (0)20 8877 1000,info@kkcl.org.uk,"Wimbledon Village, London, SW19 5EA"
Kaplan International Bath,+44 (0)1225 463652,bath@kaplan.com,"Kaplan International Bath, 5 Trim Street, Bath BA1 1HB, UK"
Kaplan International Bournemouth,+44 1202 201947,bournemouth@kaplan.com,"4-8 St Peter's Rd, Bournemouth BH1 2LF, UK"
Kaplan International Cambridge,+44 330 127 0178,,"Kaplan International Cambridge
6 Salisbury Villas
Station Road
Cambridge
CB1 2JF"
Kaplan International Edinburgh,+44 (0)131 225 2101,edinburgh@kaplan.com,"Kaplan International Edinburgh, 50 New Town Row, Edinburgh EH1 3DQ, UK"
Kaplan International Liverpool,+44 (0)151 236 9621,liverpool@kaplan.com,"Kaplan International Liverpool, 1st Floor, 42-44 Stanley Street, Liverpool L1 6AL, UK"
Kaplan International London,+44 (0)20 7935 8411,enquiries@kaplan.com,"Kaplan International Languages London, Leicester Square, 2nd Floor, 3-5 Leicester Place, London, WC2H 7JH, UK"
Kaplan International London 30+,+44 (0)20 7935 8411,,
Kaplan International Manchester,+44 (0)161 237 3133,manchester@kaplan.com,"Kaplan International Languages Manchester, 3rd Floor, Portland Tower, Portland Street, Manchester, M1 3LF, UK"
Kaplan International Oxford,+44 330 127 0179,,"Kaplan International Oxford
6 Cherwell Street
Oxford
OX1 2AZ"
Kaplan International Torquay,+44 (0)1803 209900,torquay@kaplan.com,"Haldon Road, Torquay, TQ1 2LY"
Kensington Academy of English (David Game College),+44 (0)20 7594 6880,info@kensingtonacademy.com,"David Game College, 25-27 Faraday House, 48 Old Gloucester Street, London, WC1N 3AE, UK"
Kent School of English,+44 (0)1843 591212,info@kentschoolofenglish.com,"3 Granville Gardens, Cliftonville, Margate, Kent, CT9 2BG, UK"
King's Foundations,+44 (0)1227 595666,enquiries@kingsfoundations.com,"King's Foundations, St Stephen's College, St Stephen's Hill, Canterbury, Kent, CT2 7AE"
Kingfisher Education Group,,,
Kings Brighton(Kings Education),+44 1273 587722,enquiries@kingseducation.com,"Kings Brighton(Kings Education)
25-29 Cromwell Road
Hove
BN3 3ER"
Kings Hall College,+44 (0)1823 662141,enquiries@kingshall.net,"Kings Hall School, Kingston St Mary, Taunton, Somerset, TA2 8AA"
Kings Summer Camps,+44 (0)1227 760008,enquiries@kingseducation.com,"25 New Dover Road, Canterbury, Kent, CT1 3AS"
Kings Young Learners,,,
Kingston College,+44 (0)20 8268 7440,info@kingston-college.ac.uk,"Kingston College, Kingston Hall Road, Kingston upon Thames, Surrey, KT1 2AQ, UK"
LILA,+44 (0)151 708 6888,hello@lila.co.uk,"LILA*, 82-86 Lord Street, Liverpool, L2 1TL"
LSI Brighton,+44 1273 679700,brighton@lsi.edu,"45-46 Lansdowne Place, Hove, BN3 1HF, UK"
LSI Cambridge,+44 1223 358845,cambridge@lsi.edu,"LSI Cambridge
65 Hills Road
Cambridge
CB2 1PG
England"
LSI London Central,+44 20 7299 1770,londoncentral@lsi.edu,"LSI London Central
107 Baker Street
London
W1U 6RP
England"
LSI Portsmouth,+44 23 9229 1811,portsmouth@lsi.edu,"LSI Portsmouth
Park Building
King Henry 1 Street
Portsmouth
PO1 2BZ
England"
LVC London School of English,+44 (0)20 7580 9600,info@lvcenglish.com,"67 Great Russell Street, London, WC1B 3BJ"
Language Gallery (The) Birmingham,+44 (0)121 643 9444,birmingham@languagegallery.com,"The Language Gallery Birmingham, 1 Victoria Square, Birmingham B1 1BD, UK"
Language Gallery (The) London,+44 (0)20 7629 6644,london@thelanguagegallery.com,"19-21 Great Portland Street, London, W1W 8QB"
Language Gallery (The) Nottingham,+44 (0)115 958 6848,nottingham@thelanguagegallery.com,"The Language Gallery Nottingham, 29-31 Friar Lane, Nottingham, NG1 6DA, UK"
Language Institute (The) formerly TLI Edinburgh,,,
Language Training Company (The),+44 (0)1273 325990,info@ltc-english.com,"The Language Training Company, 31a Lansdowne Place, Hove, East Sussex, BN3 1FG"
Language Tree,,,
Language Tuition Nottingham,+44 (0)115 824 0248,info@language-tuition.com,"Language Tuition Nottingham, 18 Oxford Street, Nottingham, NG1 5BG"
Language Vision,,,
Language in Action,,,
LanguageUK,+44 (0)1227 463600,info@languageuk.com,"12-13 Burgate, Canterbury, Kent, CT1 2HG, UK"
Languages United,+44 (0)1225 580058,hello@languagesunited.com,"Languages United, 44 Broad Street, Bath, BA1 5LP, UK"
Leeds English Language School,+44 (0)113 243 9662,info@leedsenglish.com,"Leeds English Language School, 4 Burton Place, Leeds LS6 2DT, UK"
Leeds Language College,+44 (0)113 243 9666,info@leedslanguagecollege.com,"Leeds Language College, 1st Floor, 12 Park Place, Leeds, LS1 2RU, UK"
Lewis School of English,+44 (0)23 8033 3344,info@lewis-school.co.uk,"Shirley Road, Southampton, SO15 3JD"
Lexis School of English,+44 (0)29 2022 3322,enquiries@lexiscardiff.com,"Lexis School of English, 14-16 Churchill Way, Cardiff, CF10 2DX, UK"
Lines Languages Ltd.,,,
Live Language,+44 (0)141 332 7520,learn@livelanguage.co.uk,"225 Bath Street, Glasgow, G2 4GZ"
Liverpool School of English,+44 151 727 2608,info@lse.uk.net,"Liverpool School of English
25-27 Hardman Street
Liverpool
L1 9AS"
Living Learning English,+44 (0)1423 797050,info@livinglearningenglish.com,"7 Montpellier Parade, Harrogate, North Yorkshire, HG1 2TJ"
London House School of English,+44 (0)20 7242 1851,info@londonhouseschool.com,"London House School of English, 139 Oxford Street, London, W1D 2JA"
London School of English (The),+44 (0)20 7242 3131,info@londonschool.com,"Holland Park Gardens, London, W14 8DZ, UK"
Loxdale English Centre,+44 (0)1273 724424,info@loxdale.com,"75-77 Grand Parade, Brighton, BN2 9JA, UK"
Malvern House,+44 20 7836 5444,info@malvernhouse.com,"Malvern House
20 Bloomsbury Square
London
WC1A 2NS"
Manchester Metropolitan University,+44 (0)161 247 2000,,"Manchester Metropolitan University, All Saints Building, Oxford Road, Manchester, M15 6BH"
Manor Courses,+44 (0)1730 812333,info@manorcourses.co.uk,"Manor Courses, Nyewoods, Rogate, Petersfield, Hampshire, GU31 5HU, UK"
Marcus Evans Linguarama London,+44 (0)20 7486 9631,london@linguarama.com,"Marcus Evans Linguarama London, 22 Berners Street, London, W1T 3DD, UK"
Melton College,+44 (0)1904 423344,info@meltoncollege.co.uk,"Melton College, Holgate Road, York, YO24 4AB"
Meridian School of English,+44 (0)1752 252444,info@meridianenglish.com,"Meridian School of English, 42 Mutley Plain, Plymouth, Devon PL4 6LE, UK"
Mill Hill Summer School,,,
Millfield English Language Holiday Courses,,,
Move Language Ahead (MLA),,,
NCG - Liverpool,+44 151 255 1755,liverpool@ncg.ac,"NCG - Liverpool
Hope Street
Liverpool
L1 9BQ"
NCG - Manchester,+44 (0)161 236 1986,manchester@ncg.ac,"51 Portland Street, Manchester, M1 3LD"
Nacel English School,+44 (0)20 7354 3131,info@nacelschoollondon.com,"Nacel English School London, 72 Margaret Street, Fitzrovia, London, W1W 8SR"
New College Durham,,,
Newcastle International School NIS,+44 (0)191 261 2496,info@newcastleis.com,"35-39 Grainger Street, Newcastle upon Tyne, NE1 5JE"
North West Academy of English,+44 (0)161 236 2477,info@nwae.co.uk,"North West Academy of English, 71 Princess Street, Manchester, M2 4EQ, UK"
Norwich Institute for Language Education (NILE),+44 (0)1603 214600,enquiries@nile-elt.com,"Delta Place, 27 Norwich Research Park, Norwich, NR4 7UB"
Norwich Study Centre,+44 (0)1603 660033,study@norwichstudycentre.co.uk,"Norwich Study Centre, 41 Park Lane, Norwich NR2 3EF, UK"
Nottingham Trent University (NILIC),+44 (0)115 848 5294,nilic@ntu.ac.uk,"Nottingham Trent University (NILIC)
50 Shakespeare Street
Nottingham
NG1 4FQ"
ODILS learning Foundation (formerly Open Doors International Language School),+44 (0)1273 697323,info@odils.org,"12-14 York Place, Brighton, BN1 4GU"
OISE Oxford,+44 (0)1865 249223,enquiries@oise.com,"19-21 George Street, Oxford, OX1 2AU, UK"
OISE at Cambridge (Formerly Regent and OISE Cambridge) Regent ,+44 (0)1223 300800,cambridge@oise.com,"OISE Cambridge, 19 Trumpington Street, Cambridge, CB2 1QA, UK"
OISE at Newbury Hall,+44 (0)1635 847000,enquiries@oise.com,"Newbury Hall, Newbury, Berkshire, RG20 5JA"
OME School of English,+44 1865 245757,info@ome-english.com,"OME School of English
49 High Street
Wheatley
Oxford
OX33 1XT"
Our World English Schools,,,
Oxford English Centre (The),+44 (0)1865 249220,info@oxfordenglish.co.uk,"The Oxford English Centre, 67 George Street, Oxford, OX1 2BQ, UK"
Oxford House College,+44 (0)20 7255 4400,info@oxfordhousecollege.co.uk,"Oxford House College, 55-59 New Oxford Street, London, WC1A 1BS"
Oxford International,+44 (0)1865 261590,info@oxfordinternational.com,"4 King Edward Street, Oxford, OX1 4HS"
Oxford International Junior Programmes,,,
Oxford International Language School,+44 (0)1865 243333,info@oxfordinternational.com,"Oxford International Language School, 4 King Edward Street, Oxford, OX1 4HS"
Oxford Royale Academy,+44 (0)1865 766262,admissions@oxfordroyale.co.uk,"Oxford Royale Academy, 45-47 Park End Street, Oxford OX1 1JD, UK"
